Restaurant,Location,Cuisines,Cuisines0,Cuisines1,Cuisines2,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
ID_4849,"MG Road, Pune","Chinese, Pizza, Fast Food",Chinese,Pizza,Fast,150,50,3.7,55,20,30
ID_4179,"D-Block, Sector 63, Noida",North Indian,North,Indian,,200,50,3.3,9,5,30
ID_5321,"Rmz Centennial, I Gate, Whitefield","Biryani, Hyderabadi, North Indian, Mughlai",Biryani,Hyderabadi,North,100,50,2.6,,,30
ID_2376,"Chatta Bazaar, Malakpet, Hyderabad",South Indian,South,Indian,,50,50,3.5,12,2,30
ID_3147,"Sandhurst Road, Mumbai CST Area","Momos, Fast Food",Momos,Fast,Food,150,50,3.5,85,40,30
ID_6452,"Sector 63A,Gurgaon","Mithai, North Indian, South Indian, Chinese, Street Food",Mithai,North,Indian,150,50,NEW,,,30
ID_5076,"Mico Layout, Stage 2, BTM Layout,Bangalore","South Indian, North Indian",South,Indian,North,100,50,3.7,27,5,30
ID_7738,"Rmz Centennial, I Gate, Whitefield","Continental, Beverages, Desserts",Continental,Beverages,Desserts,200,50,NEW,,,30
ID_4942,Mumbai Central,"Fast Food, Ice Cream, Beverages",Fast,Food,Ice,200,50,3.8,107,47,30
ID_3468,"D-Block, Sector 63, Noida",Fast Food,Fast,Food,,100,50,3.3,13,4,30
ID_3797,"Delhi High Court, India Gate",Fast Food,Fast,Food,,200,50,3.3,25,16,30
ID_6224,"D-Block, Sector 63, Noida",Chinese,Chinese,,,100,50,3.5,24,1,30
ID_1124,Delhi University-GTB Nagar,"Burger, Fast Food",Burger,Fast,Food,100,50,,,,30
ID_6637,Delhi Cantt.,Mughlai,Mughlai,,,150,50,2.8,7,3,30
ID_8434,"Sector 3, Marathalli",Chinese,Chinese,,,300,99,2.9,393,191,65
ID_2962,Pune University,"North Indian, Rolls, Chinese",North,Indian,Rolls,200,50,3.9,348,105,30
ID_6091,"Mico Layout, Stage 2, BTM Layout,Bangalore","Andhra, Biryani",Andhra,Biryani,,200,50,3.4,15,7,30
ID_2198,Majestic,Street Food,Street,Food,,100,50,4.1,260,100,65
ID_4654,"FTI College, Law College Road, Pune","Burger, Fast Food",Burger,Fast,Food,200,50,3.9,326,106,30
ID_3712,"Dockyard Road, Mumbai CST Area",Street Food,Street,Food,,100,50,3.5,18,8,30
ID_1858,"Tejas Nagar Colony, Wadala West, Mumbai","North Indian, South Indian, Assamese, Maharashtrian, Bengali",North,Indian,South,200,50,NEW,,,30
ID_4395,"D-Block, Sector 63, Noida","North Indian, Lucknowi",North,Indian,Lucknowi,200,50,2.8,150,89,45
ID_3814,"Delhi Administration Flats, Timarpur","Fast Food, Beverages",Fast,Food,Beverages,150,50,3.7,35,21,30
ID_7226,"Sector 14, Noida",North Indian,North,Indian,,100,50,3,7,1,30
ID_2915,"MG Road, Pune",North Indian,North,Indian,,200,50,3.3,28,9,30
ID_5719,"Mico Layout, Stage 2, BTM Layout,Bangalore",Pizza,Pizza,,,200,50,3.5,87,37,45
ID_1532,"Sector 14, Noida","Chinese, Fast Food",Chinese,Fast,Food,150,50,3.5,187,65,30
ID_3539,"FTI College, Law College Road, Pune","Desserts, Ice Cream",Desserts,Ice,Cream,100,50,2.6,28,13,30
ID_2677,"MG Road, Pune","North Indian, Chinese, Street Food",North,Indian,Chinese,150,50,2.8,,,30
ID_1203,"FTI College, Law College Road, Pune",Fast Food,Fast,Food,,150,50,3,4,,30
ID_4645,"Babarpur, New Delhi, Delhi","North Indian, Fast Food",North,Indian,Fast,300,50,3.5,15,7,30
ID_1210,"Rmz Centennial, I Gate, Whitefield","Beverages, Cafe, Sandwich, Fast Food, Desserts",Beverages,Cafe,Sandwich,250,50,3.8,118,69,45
ID_7260,"Sector 3, Marathalli","North Indian, Mughlai",North,Indian,Mughlai,150,50,NEW,,,30
ID_1996,"Mico Layout, Stage 2, BTM Layout,Bangalore",North Indian,North,Indian,,150,50,,,,30
ID_7796,"Rmz Centennial, I Gate, Whitefield","Street Food, Beverages",Street,Food,Beverages,100,50,,,,30
ID_1324,"D-Block, Sector 63, Noida",Bakery,Bakery,,,200,50,3.1,12,2,30
ID_1885,Delhi Cantt.,North Indian,North,Indian,,300,50,4.2,,,45
ID_2885,"Nathan Road, Mangaldas Road, Pune","German, Italian, Cafe",German,Italian,Cafe,450,50,4.3,4691,2547,45
ID_3351,"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, South Indian, Chinese, Arabian",North,Indian,South,350,50,3.1,89,10,30
ID_5223,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",North Indian,North,Indian,,100,50,3.9,70,9,30
ID_2093,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Mughlai",North,Indian,Mughlai,150,50,3.1,9,2,30
ID_5969,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Mithai,Mithai,,,50,50,2.8,11,2,30
ID_4654,"Mico Layout, Stage 2, BTM Layout,Bangalore","Burger, Fast Food",Burger,Fast,Food,200,50,3.8,349,159,45
ID_8146,"MG Road, Pune","Finger Food, North Indian",Finger,Food,North,300,50,3,6,1,30
ID_7674,"D-Block, Sector 63, Noida","North Indian, Chinese",North,Indian,Chinese,250,99,4.5,143,110,65
ID_7677,"D-Block, Sector 63, Noida",Bakery,Bakery,,,150,50,3.2,7,3,30
ID_4484,"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Beverages",Fast,Food,Beverages,100,50,,,,30
ID_669,"Delhi High Court, India Gate","North Indian, South Indian, Fast Food, Beverages",North,Indian,South,150,50,3.6,81,42,30
ID_4064,Mumbai Central,Street Food,Street,Food,,50,50,3.7,63,36,45
ID_1181,"Sector 1, Noida","Sandwich, Chinese, North Indian, Pizza, Rolls, Fast Food, Desserts, Beverages",Sandwich,Chinese,North,200,50,3.4,417,181,45
ID_4609,Mumbai Central,"Street Food, Fast Food",Street,Food,Fast,150,50,3.4,20,16,30
ID_5401,"D-Block, Sector 63, Noida",Chinese,Chinese,,,150,50,4.2,124,109,30
ID_1215,Pune University,"Fast Food, Street Food, Momos",Fast,Food,Street,100,50,3.3,12,1,30
ID_1773,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Fast Food",North,Indian,Fast,200,50,2.9,47,10,45
ID_1452,"Rmz Centennial, I Gate, Whitefield","Street Food, Fast Food",Street,Food,Fast,100,50,4,242,179,65
ID_5440,"Yerawada, Pune, Maharashtra","Italian, Beverages",Italian,Beverages,,300,50,3.5,12,5,30
ID_553,"Sector 1, Noida",Mughlai,Mughlai,,,150,50,3.4,9,2,30
ID_622,"FTI College, Law College Road, Pune",Fast Food,Fast,Food,,100,50,,,,30
ID_6537,"D-Block, Sector 63, Noida","Biryani, North Indian, Mughlai, Kebab, Rolls",Biryani,North,Indian,250,99,4.7,706,490,30
ID_6951,"Panjetan Colony, Malakpet, Hyderabad",South Indian,South,Indian,,50,50,4,109,28,30
ID_8413,Pune University,Desserts,Desserts,,,150,50,4.4,584,343,45
ID_5237,"Delhi Administration Flats, Timarpur","Fast Food, Rolls, Beverages",Fast,Food,Rolls,150,50,3.6,37,16,30
ID_1005,Delhi University-GTB Nagar,"Street Food, Fast Food",Street,Food,Fast,150,50,4.3,253,118,30
ID_5181,"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese",North,Indian,Chinese,150,50,3.4,123,37,30
ID_1766,"Yerawada, Pune, Maharashtra","Chettinad, North Indian, Seafood",Chettinad,North,Indian,200,50,4.1,1665,690,30
ID_6145,Pune University,"Ice Cream, Fast Food",Ice,Cream,Fast,150,50,3.3,9,3,30
ID_1972,"Delhi High Court, India Gate","Pizza, Burger, Fast Food, Desserts",Pizza,Burger,Fast,200,50,3.9,191,72,45
ID_8614,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Biryani, Mughlai",Biryani,Mughlai,,100,50,,,,30
ID_308,"Rmz Centennial, I Gate, Whitefield","Chinese, South Indian, North Indian",Chinese,South,Indian,250,50,3,4,2,30
ID_4468,"Sector 1, Noida",South Indian,South,Indian,,150,50,3.5,40,6,30
ID_7468,"Yerawada, Pune, Maharashtra","North Indian, Street Food, Desserts",North,Indian,Street,150,50,4,696,296,45
ID_7299,Mumbai Central,"Bakery, Desserts",Bakery,Desserts,,150,50,3.8,72,33,45
ID_4827,"Sector 63A,Gurgaon","Chinese, Fast Food, North Indian, Momos",Chinese,Fast,Food,200,99,4,334,164,45
ID_8391,"Sector 1, Noida","Cafe, Desserts",Cafe,Desserts,,200,50,NEW,,,30
ID_8049,"Sector 1, Noida","North Indian, Mughlai, Momos",North,Indian,Mughlai,250,50,3.8,173,29,45
ID_1171,Mumbai Central,Juices,Juices,,,100,50,3.1,5,2,30
ID_4137,"Moulali, Kolkata","Desserts, Beverages",Desserts,Beverages,,200,50,4.1,62,50,30
ID_8129,"Tiretti, Kolkata","Chinese, North Indian",Chinese,North,Indian,100,50,3.8,85,27,30
ID_7583,"Raja Bazar, Kolkata","Sandwich, Italian, Desserts",Sandwich,Italian,Desserts,250,50,3.8,224,129,45
ID_5352,"D-Block, Sector 63, Noida",Mughlai,Mughlai,,,200,50,,,,30
ID_6908,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",North Indian,North,Indian,,100,50,,,,30
ID_1316,"Delhi High Court, India Gate","Cafe, Italian",Cafe,Italian,,600,50,4.2,2653,1581,65
ID_3332,"Yerawada, Pune, Maharashtra","North Indian, Chinese",North,Indian,Chinese,150,50,,,,30
ID_7412,Delhi Cantt.,"North Indian, Chinese, Rolls",North,Indian,Chinese,150,50,4.8,326,234,30
ID_8503,"Yerawada, Pune, Maharashtra","Bengali, Fast Food",Bengali,Fast,Food,300,50,3.5,90,45,45
ID_8382,"FTI College, Law College Road, Pune","North Indian, Street Food",North,Indian,Street,200,50,3.9,175,59,45
ID_5921,"FTI College, Law College Road, Pune",North Indian,North,Indian,,150,50,3.1,4,,30
ID_463,"Rmz Centennial, I Gate, Whitefield","Ice Cream, Desserts",Ice,Cream,Desserts,200,50,4.1,,,30
ID_1460,"Babarpur, New Delhi, Delhi",Mithai,Mithai,,,100,50,3.3,15,7,30
ID_4202,"Dockyard Road, Mumbai CST Area","Parsi, Bakery",Parsi,Bakery,,200,50,4,4335,2363,30
ID_975,Mumbai Central,"Japanese, Sushi",Japanese,Sushi,,400,50,3.6,163,72,45
ID_8359,"Sector 1, Noida","North Indian, Chinese",North,Indian,Chinese,550,50,3.4,53,24,30
ID_6548,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Beverages, Desserts, Ice Cream",Beverages,Desserts,Ice,150,50,2.9,6,2,45
ID_2002,Delhi Cantt.,Rolls,Rolls,,,50,50,3.1,6,2,30
ID_7261,Mumbai Central,"North Indian, South Indian, Chinese, Fast Food",North,Indian,South,350,50,3,19,5,45
ID_7696,"Rmz Centennial, I Gate, Whitefield","North Indian, Chinese",North,Indian,Chinese,150,99,3.9,216,115,45
ID_4095,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese",North,Indian,Chinese,200,50,3.7,45,12,45
ID_5986,"Nathan Road, Mangaldas Road, Pune","North Indian, Chinese",North,Indian,Chinese,200,50,3.8,302,138,45
ID_7172,"Tejas Nagar Colony, Wadala West, Mumbai",North Indian,North,Indian,,150,50,2.8,16,8,45
ID_2780,"Dockyard Road, Mumbai CST Area","Fast Food, Chinese",Fast,Food,Chinese,200,50,3.1,76,36,45
ID_6441,Delhi University-GTB Nagar,Street Food,Street,Food,,100,50,3.1,4,1,30
ID_2164,Pune University,"Ice Cream, Fast Food, Beverages",Ice,Cream,Fast,150,50,NEW,,,30
ID_2053,Pune University,South Indian,South,Indian,,150,50,3.6,87,45,45
ID_1172,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Cafe,Cafe,,,200,50,3.3,9,1,30
ID_3499,"Tiretti, Kolkata","Chinese, Fast Food",Chinese,Fast,Food,100,50,3.2,12,7,30
ID_62,"Mico Layout, Stage 2, BTM Layout,Bangalore","Chinese, Fast Food, North Indian, Mughlai",Chinese,Fast,Food,300,50,3.4,298,175,65
ID_5414,"Rmz Centennial, I Gate, Whitefield",Desserts,Desserts,,,150,50,3.6,18,3,45
ID_7309,"Dockyard Road, Mumbai CST Area","Fast Food, Street Food, Beverages",Fast,Food,Street,150,50,3.7,77,39,45
ID_1639,"Raja Bazar, Kolkata","Fast Food, American",Fast,Food,American,150,50,3.5,101,53,45
ID_3106,Mumbai Central,"Fast Food, Mughlai",Fast,Food,Mughlai,100,50,3.9,116,66,45
ID_2617,Pune University,"Fast Food, Biryani, Beverages",Fast,Food,Biryani,200,50,,,,30
ID_2041,"Yerawada, Pune, Maharashtra","Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental",Italian,Pizza,Salad,650,50,4.4,3248,1603,45
ID_2673,"Sector 1, Noida","Chinese, North Indian",Chinese,North,Indian,200,50,3.6,125,29,30
ID_7912,Delhi University-GTB Nagar,"Pizza, Beverages",Pizza,Beverages,,350,50,3.3,11,6,30
ID_3779,"Tiretti, Kolkata","Beverages, Juices, Fast Food",Beverages,Juices,Fast,100,50,3.6,31,15,30
ID_3683,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",North Indian,North,Indian,,150,50,3,4,1,30
ID_4508,"Mico Layout, Stage 2, BTM Layout,Bangalore","Chinese, North Indian",Chinese,North,Indian,150,50,3.1,192,50,45
ID_4878,"Mico Layout, Stage 2, BTM Layout,Bangalore","Cafe, Continental, Italian",Cafe,Continental,Italian,400,50,4.2,2828,1443,45
ID_2802,"D-Block, Sector 63, Noida","Bakery, Desserts",Bakery,Desserts,,150,50,3.2,6,4,30
ID_2814,"Delhi High Court, India Gate","Japanese, Sushi, Asian",Japanese,Sushi,Asian,800,50,4.2,721,390,45
ID_188,"Panjetan Colony, Malakpet, Hyderabad","North Indian, Mughlai",North,Indian,Mughlai,150,50,3.3,4,2,30
ID_4614,"D-Block, Sector 63, Noida","North Indian, Mughlai",North,Indian,Mughlai,200,50,3.7,66,42,30
ID_7647,"D-Block, Sector 63, Noida","Chinese, Fast Food, Momos",Chinese,Fast,Food,150,50,,,,30
ID_5499,"Sector 3, Marathalli","North Indian, South Indian, Chinese, Bengali, Odia, Biryani, Beverages",North,Indian,South,150,50,3.5,45,29,45
ID_7594,Mumbai Central,Burger,Burger,,,200,50,NEW,,,30
ID_6436,"MG Road, Pune",South Indian,South,Indian,,150,50,3.9,219,108,30
ID_4298,Mumbai Central,"Salad, Beverages, Healthy Food, Desserts",Salad,Beverages,Healthy,200,50,3.5,36,24,65
ID_7158,"Mico Layout, Stage 2, BTM Layout,Bangalore","Ice Cream, Cafe, Pizza, Burger, Beverages",Ice,Cream,Cafe,200,50,4.5,2805,1457,45
ID_7750,"Mico Layout, Stage 2, BTM Layout,Bangalore","Asian, Biryani, North Indian, Desserts",Asian,Biryani,North,200,50,4.1,37,30,45
ID_7397,"Sector 63A,Gurgaon","Continental, Burger, Wraps, Beverages",Continental,Burger,Wraps,150,50,4,34,27,30
ID_5574,Delhi University-GTB Nagar,"Fast Food, Chinese",Fast,Food,Chinese,150,50,NEW,,,30
ID_4635,"FTI College, Law College Road, Pune",Street Food,Street,Food,,100,50,NEW,,,30
ID_6659,"Jaya Nagar, Saidabad, Hyderabad",Chinese,Chinese,,,100,50,,,,30
ID_621,"Sector 63A,Gurgaon","Mithai, Street Food, Chinese",Mithai,Street,Food,150,50,3.3,35,16,65
ID_7260,Majestic,"North Indian, Mughlai",North,Indian,Mughlai,150,50,NEW,,,30
ID_5602,"Sector 1, Noida","North Indian, Chinese",North,Indian,Chinese,250,50,2.8,27,11,30
ID_7252,"Rmz Centennial, I Gate, Whitefield","Tamil, Biryani, South Indian, Chettinad, North Indian, Chinese",Tamil,Biryani,South,250,50,3.9,163,112,30
ID_2879,"Sandhurst Road, Mumbai CST Area","South Indian, North Indian, Fast Food",South,Indian,North,200,50,3.7,182,107,45
ID_2637,Majestic,"Chinese, North Indian, Street Food",Chinese,North,Indian,150,50,NEW,,,30
ID_6278,"Nathan Road, Mangaldas Road, Pune","Chinese, Cantonese",Chinese,Cantonese,,"1,000",50,4.7,441,259,30
ID_4625,"Delhi Administration Flats, Timarpur","North Eastern, Momos, Fast Food, Beverages, Tibetan",North,Eastern,Momos,100,50,2.9,,,30
ID_3176,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Fast Food, Chinese",Fast,Food,Chinese,150,50,3.5,26,6,30
ID_6778,Pune University,Street Food,Street,Food,,100,50,,,,30
ID_6312,"MG Road, Pune","Maharashtrian, South Indian, Chinese",Maharashtrian,South,Indian,150,50,3.3,12,7,30
ID_6002,"D-Block, Sector 63, Noida",Bakery,Bakery,,,50,50,3.2,11,1,30
ID_3655,"Dockyard Road, Mumbai CST Area",Mithai,Mithai,,,100,99,3.9,60,15,45
ID_3288,"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, South Indian, Fast Food",North,Indian,South,100,50,,,,30
ID_6406,"Raja Bazar, Kolkata","Biryani, Mughlai",Biryani,Mughlai,,100,50,3.6,353,53,30
ID_1059,"Sector 3, Marathalli","Chinese, North Indian",Chinese,North,Indian,100,50,,,,30
ID_8302,"Babarpur, New Delhi, Delhi","North Indian, Rolls",North,Indian,Rolls,100,50,3.6,27,12,30
ID_6710,"Sector 1, Noida","Pizza, Fast Food",Pizza,Fast,Food,150,50,3.7,43,9,30
ID_731,"Raja Bazar, Kolkata",Bengali,Bengali,,,150,50,,,,30
ID_2132,Mumbai Central,Fast Food,Fast,Food,,100,50,3.3,10,4,30
ID_3491,"Sector 3, Marathalli","Chinese, Thai",Chinese,Thai,,200,50,3.5,13,9,30
ID_6264,"D-Block, Sector 63, Noida","North Indian, Chinese, Mughlai",North,Indian,Chinese,300,50,3.4,47,25,30
